Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,system,language
"ares,expand,name,for,response",PRE V N P N,V NM N P N,{'grpc.srcml.xml_identifiers'}
"out,d,g",N NM NM,NM NM N,{'Telegram.srcml.xml_identifiers'}
"paint,radio",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"param,def",NM N,NM N,{'ogre.srcml.xml_identifiers'}
"progress,out",V N,NM N,{'irrlicht.srcml.xml_identifiers'}
"r,hdr",NM N,NM N,{'openFrameworks.srcml.xml_identifiers'}
"raw,nor",NM N,NM N,{'blender.srcml.xml_identifiers'}
"rcp,len,2",NM N D,NM NM N,{'bullet3.srcml.xml_identifiers'}
"rem,f",NM N,NM N,{'irrlicht.srcml.xml_identifiers'}
"rgb,real",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"root,ptr",NM N,NM N,{'blender.srcml.xml_identifiers'}
"selection,bounds",NM NPL,NM N,{'gimp.srcml.xml_identifiers'}
"source,index",NM N,NM N,{'openFrameworks.srcml.xml_identifiers'}
"sz,joint,ranges",NM NM NPL,NM NM N,{'bullet3.srcml.xml_identifiers'}
"target,chars",NM NPL,NM N,{'grpc.srcml.xml_identifiers'}
"text,chopped,2",N NM D,NM NM N,{'swift.srcml.xml_identifiers'}
"tmp,vec",NM N,NM N,{'blender.srcml.xml_identifiers'}
"to,xyz",P N,NM N,{'bullet3.srcml.xml_identifiers'}
"txt,alias",NM N,NM N,{'grpc.srcml.xml_identifiers'}
"update,area",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"v,proj,axis",NM NM N,NM NM N,{'blender.srcml.xml_identifiers'}
"wat,id",NM N,NM N,{'irrlicht.srcml.xml_identifiers'}
"within,vertically",P VM,NM N,{'gimp.srcml.xml_identifiers'}
"worst,score",NM N,NM N,{'opencv.srcml.xml_identifiers'}
"accelerometer,data",NM N,NM N,{'openFrameworks.srcml.xml_identifiers'}
addr,N,N,{'grpc.srcml.xml_identifiers'}
"build,time,minor",NM NM N,NM NM N,{'gimp.srcml.xml_identifiers'}
"convex,shapes",NM NPL,NM N,{'bullet3.srcml.xml_identifiers'}
"current,median",NM N,NM N,{'Telegram.srcml.xml_identifiers'}
"curvatures,height",NM N,NM N,{'gimp.srcml.xml_identifiers'}
default,N,N,{'gimp.srcml.xml_identifiers'}
"default,open",NM N,NM N,{'bullet3.srcml.xml_identifiers'}
"dest,points",NM NPL,NM N,{'gimp.srcml.xml_identifiers'}
"destroy,with,parent",V P N,NM NM N,{'gimp.srcml.xml_identifiers'}
dispose,N,N,{'gimp.srcml.xml_identifiers'}
"down,sample",NM N,NM N,{'Telegram.srcml.xml_identifiers'}
"echo,path,change",V NM N,NM NM N,{'Telegram.srcml.xml_identifiers'}
esa,N,N,{'irrlicht.srcml.xml_identifiers'}
"fine,priority",NM N,NM N,{'Telegram.srcml.xml_identifiers'}
"first,type,label",NM NM N,NM NM N,{'gimp.srcml.xml_identifiers'}
frame,N,N,{'Telegram.srcml.xml_identifiers'}
"frame,pixel,coords",NM NM NPL,NM NM N,{'blender.srcml.xml_identifiers'}
"full,path",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"in,buffer",NM N,NM N,{'openFrameworks.srcml.xml_identifiers'}
"l,b,layer",NM NM N,NM NM N,{'blender.srcml.xml_identifiers'}
"line,index,mask,len",NM NM NM N,NM NM NM N,{'blender.srcml.xml_identifiers'}
"mapped,color",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"n,layers",NM NPL,NM N,{'gimp.srcml.xml_identifiers'}
"n,vector",NM N,NM N,{'irrlicht.srcml.xml_identifiers'}
"next,func",NM N,DT N,{'blender.srcml.xml_identifiers'}
"on,connect",P N,NM N,{'grpc.srcml.xml_identifiers'}
"out,buf",NM N,NM N,{'irrlicht.srcml.xml_identifiers'}
"out,table",NM N,NM N,{'bullet3.srcml.xml_identifiers'}
overlap,N,N,{'Telegram.srcml.xml_identifiers'}
"own,flags",NM NPL,NM N,{'blender.srcml.xml_identifiers'}
"p,global,info,32",PRE NM N D,NM NM NM N,{'bullet3.srcml.xml_identifiers'}
"pass,machine,instructions",NM NM NPL,NM NM N,{'ogre.srcml.xml_identifiers'}
"pi,hash",PRE N,NM N,{'Telegram.srcml.xml_identifiers'}
"point,index",NM N,NM N,{'blender.srcml.xml_identifiers'}
"print,t",V N,NM N,{'gimp.srcml.xml_identifiers'}
radius,N,N,{'gimp.srcml.xml_identifiers'}
rets,NPL,N,{'blender.srcml.xml_identifiers'}
"save,dual,cells",V NM NPL,NM NM N,{'ogre.srcml.xml_identifiers'}
"secondary,range",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"size,on,first,use",N P NM N,NM NM NM N,{'bullet3.srcml.xml_identifiers'}
"speech,in",NM N,NM N,{'Telegram.srcml.xml_identifiers'}
strength,N,N,{'blender.srcml.xml_identifiers'}
"table,2,id",N D N,NM NM N,{'gimp.srcml.xml_identifiers'}
"time,range",NM N,NM N,{'blender.srcml.xml_identifiers'}
"want,x",V N,NM N,{'openFrameworks.srcml.xml_identifiers'}
"z,p,i",NM NM N,NM NM N,{'openFrameworks.srcml.xml_identifiers'}
"zoom,x,y",NM N N,NM NM N,{'blender.srcml.xml_identifiers'}
ambient,N,N,{'openFrameworks.srcml.xml_identifiers'}
"average,in,bucket,used,slot,count",N P NM NM NM N,NM NM NM NM NM N,{'kdevelop.srcml.xml_identifiers'}
"bitmap,data,size",NM NM N,NM NM N,{'irrlicht.srcml.xml_identifiers'}
"bm,log",NM N,NM N,{'blender.srcml.xml_identifiers'}
"bounding,radius",NM N,NM N,{'irrlicht.srcml.xml_identifiers'}
"canvas,item",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"char,strings",NM NPL,NM N,{'bullet3.srcml.xml_identifiers'}
"colored,count",NM N,NM N,{'kdevelop.srcml.xml_identifiers'}
"component,type",NM N,NM N,{'ogre.srcml.xml_identifiers'}
creds,NPL,N,{'grpc.srcml.xml_identifiers'}
"crop,node",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"debug,policy",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"default,instance,void",NM NM N,NM NM N,{'opencv.srcml.xml_identifiers'}
"delay,agnostic,enabled",NM N V,NM NM N,{'Telegram.srcml.xml_identifiers'}
"depth,cb",NM N,NM N,{'openFrameworks.srcml.xml_identifiers'}
"depth,stencil,as,texture",NM N P N,NM NM NM N,{'openFrameworks.srcml.xml_identifiers'}
"detect,leaks",V NPL,NM N,{'grpc.srcml.xml_identifiers'}
"edit,count",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"eglew,android,frame,buffer,target",PRE PRE NM NM N,NM NM NM NM N,{'blender.srcml.xml_identifiers'}
"eglew,create,platform,window,surface",PRE V NM NM N,NM NM NM NM N,{'blender.srcml.xml_identifiers'}
"eglew,khr,stream,fifo",PRE PRE NM N,NM NM NM N,{'blender.srcml.xml_identifiers'}
"enabled,subdevices",NM NPL,NM N,{'openFrameworks.srcml.xml_identifiers'}
flag,N,N,{'blender.srcml.xml_identifiers'}
"free,cell",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"glew,index,mask",PRE NM N,NM NM N,{'blender.srcml.xml_identifiers'}
"glew,render,mode",PRE NM N,NM NM N,{'blender.srcml.xml_identifiers'}
"glew,validate,program,pipeline",PRE V NM N,NM NM NM N,{'ogre.srcml.xml_identifiers'}
"h,wnd",N NM,NM N,{'irrlicht.srcml.xml_identifiers'}
"height,int",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"img,buffer,original",NM N NM,NM NM N,{'ogre.srcml.xml_identifiers'}
"index,data",NM NPL,NM N,{'ogre.srcml.xml_identifiers'}
"index,to,loc,format",N P NM N,NM NM NM N,{'bullet3.srcml.xml_identifiers'}
"is,indirect,result",V NM N,NM NM N,{'swift.srcml.xml_identifiers'}
"is,partial",V N,NM N,{'opencv.srcml.xml_identifiers'}
"key,sym",NM N,NM N,{'ogre.srcml.xml_identifiers'}
"layer,mask,source,node",NM NM NM N,NM NM NM N,{'gimp.srcml.xml_identifiers'}
"link,name",NM N,NM N,{'irrlicht.srcml.xml_identifiers'}
"m,num,visual,shapes,copied",PRE NM NM NM N,NM NM NM NM N,{'bullet3.srcml.xml_identifiers'}
"m,post,fix",PRE NM N,NM NM N,{'bullet3.srcml.xml_identifiers'}
"m,remove,user,data,response,args",PRE NM NM NM NM NPL,NM NM NM NM NM N,{'bullet3.srcml.xml_identifiers'}
"m,shadow,receiver,pass",PRE NM NM N,NM NM NM N,{'ogre.srcml.xml_identifiers'}
"m,sky,box,orientation",PRE NM NM N,NM NM NM N,{'ogre.srcml.xml_identifiers'}
"m,sky,plane,render,queue",PRE NM NM NM N,NM NM NM NM N,{'ogre.srcml.xml_identifiers'}
"m,transform,change,args",PRE NM NM NPL,NM NM NM N,{'bullet3.srcml.xml_identifiers'}
"m,vs,out,light,position",PRE NM NM NM N,NM NM NM NM N,{'ogre.srcml.xml_identifiers'}
"nav,visible",N NM,NM N,{'bullet3.srcml.xml_identifiers'}
"num,axis,events",NM NM NPL,NM NM N,{'gimp.srcml.xml_identifiers'}
"num,body,parts",NM NM NPL,NM NM N,{'irrlicht.srcml.xml_identifiers'}
"num,cols",NM NPL,NM N,{'blender.srcml.xml_identifiers'}
"num,groups",NM NPL,NM N,{'irrlicht.srcml.xml_identifiers'}
"num,light",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"num,tess,face,data",NM NM NM N,NM NM NM N,{'blender.srcml.xml_identifiers'}
"number,start",NM N,NM N,{'irrlicht.srcml.xml_identifiers'}
"other,side,x",NM NM N,DT NM N,{'gimp.srcml.xml_identifiers'}
"packet,sent",NM N,NM N,{'grpc.srcml.xml_identifiers'}
pickup,N,N,{'irrlicht.srcml.xml_identifiers'}
"pixel,width",NM N,NM N,{'irrlicht.srcml.xml_identifiers'}
"proof,profile",NM N,NM N,{'gimp.srcml.xml_identifiers'}
"q,tail",NM N,NM N,{'grpc.srcml.xml_identifiers'}
"rc,identity",NM N,NM N,{'swift.srcml.xml_identifiers'}
"replacement,length",NM N,NM N,{'swift.srcml.xml_identifiers'}
"rotate,desc",NM N,NM N,{'gimp.srcml.xml_identifiers'}
samplers,NPL,N,{'ogre.srcml.xml_identifiers'}
"selection,width,label",NM NM N,NM NM N,{'gimp.srcml.xml_identifiers'}
"session,ticket,key",NM NM N,NM NM N,{'grpc.srcml.xml_identifiers'}
"spline,max,len",NM NM N,NM NM N,{'gimp.srcml.xml_identifiers'}
"step,no",NM N,NM DT,{'bullet3.srcml.xml_identifiers'}
"tot,channel",NM N,NM N,{'blender.srcml.xml_identifiers'}
"tot,elem",NM N,NM N,{'blender.srcml.xml_identifiers'}
"user,hook,3",NM N D,NM NM N,{'blender.srcml.xml_identifiers'}
"video,chunk,cb",NM NM N,NM NM N,{'openFrameworks.srcml.xml_identifiers'}
"x,dnd,type,list",NM NM NM N,NM NM NM N,{'blender.srcml.xml_identifiers'}
"x,origin",NM N,NM N,{'bullet3.srcml.xml_identifiers'}
"x,scale",NM N,NM N,{'irrlicht.srcml.xml_identifiers'}
"ya,bottom",NM N,NM N,{'calligra.srcml.xml_identifiers'}
"zero,plane,res",NM NM N,PR NM N,{'openFrameworks.srcml.xml_identifiers'}
"area,info,dialog,t",NM NM NM N,NM NM NM N,{'gimp.srcml.xml_identifiers.idents'}
"child,location",NM N,NM N,{'gimp.srcml.xml_identifiers.idents'}
"command,t",NM N,NM N,{'gimp.srcml.xml_identifiers.idents'}
"d,obj,points",NM NM NPL,NM NM N,{'gimp.srcml.xml_identifiers.idents'}
"dialog,elements",NM NPL,NM N,{'gimp.srcml.xml_identifiers.idents'}
"check,writeable",V NM,V N,{'grpc.srcml.xml_identifiers'}
"get,longitude",V N,V N,{'grpc.srcml.xml_identifiers'}
"atn,state",NM N,NM N,{'antlr4.srcml.xml_identifiers'}
"generate,rule,bypass,transitions",V NM NM NPL,NM NM NM N,{'antlr4.srcml.xml_identifiers'}
"inertial,frame",NM N,NM N,{'bullet3.srcml.xml_identifiers'}
"trim,parse,trees",V NM NPL,NM NM N,{'antlr4.srcml.xml_identifiers'}
"bound,port",NM N,NM N,{'grpc.srcml.xml_identifiers'}
"comparison,value",NM N,NM N,{'antlr4.srcml.xml_identifiers'}
"added,unicode,smp",NM NM N,NM NM N,{'antlr4.srcml.xml_identifiers'}
"completion,handler,i,unary,response,client,callback",NM N NM NM NM NM N,NM NM NM NM NM NM N,{'grpc.srcml.xml_identifiers'}
"file,descriptor,proto",NM NM N,NM NM N,{'grpc.srcml.xml_identifiers'}
"time,spec",NM N,NM N,{'grpc.srcml.xml_identifiers'}
uuid,N,N,{'antlr4.srcml.xml_identifiers'}
"call,error,extensions",NM NM NPL,NM NM N,{'grpc.srcml.xml_identifiers'}
"cpp,generator,services",NM NM NPL,NM NM N,{'grpc.srcml.xml_identifiers'}
"default,ssl,roots,override",NM NM NPL NM,NM NM NM N,{'grpc.srcml.xml_identifiers'}
"deserialization,context",NM N,NM N,{'grpc.srcml.xml_identifiers'}
"main,class",NM N,NM N,{'grpc.srcml.xml_identifiers'}
"mono,p,invoke,callback,attribute",NM NM NM NM N,NM NM NM NM N,{'grpc.srcml.xml_identifiers'}
num,N,N,{'grpc.srcml.xml_identifiers'}
"rule,version,attribute",NM NM N,NM NM N,{'antlr4.srcml.xml_identifiers'}
"server,safe,handle",NM NM N,NM NM N,{'grpc.srcml.xml_identifiers'}
"add,bezier,curve",V NM N,V NM N,{'bullet3.srcml.xml_identifiers'}
"add,log,to,stream",V N P N,V N P N,{'Telegram.srcml.xml_identifiers'}
"add,object,index",V NM N,V NM N,{'blender.srcml.xml_identifiers'}
"adjusted,gradient",NM N,V N,{'calligra.srcml.xml_identifiers'}
"all,open,files,string",DT NM NM N,DT NM NM N,{'kdevelop.srcml.xml_identifiers'}
"append,sequence",V N,V N,{'kdevelop.srcml.xml_identifiers'}
"argb,subtract,row,c",N V NM N,PRE V NM NM N,{'Telegram.srcml.xml_identifiers'}
"aud,sound,envelope",PRE NM N,V NM N,{'blender.srcml.xml_identifiers'}
"b3,push,profile,timing",PRE V NM N,PRE D V NM N,{'bullet3.srcml.xml_identifiers'}
"calc,lut",V N,V N,{'opencv.srcml.xml_identifiers'}
"check,gl,support",V NM N,V V N,{'openFrameworks.srcml.xml_identifiers'}
"check,sign",V N,V N,{'QuantLib.srcml.xml_identifiers'}
"check,t",V N,V N,{'QuantLib.srcml.xml_identifiers'}
"choose,document",V N,V N,{'kdevelop.srcml.xml_identifiers'}
"clear,active,id",V NM N,V NM N,{'bullet3.srcml.xml_identifiers'}
"compare,inverse,and,forward,dynamics",V NM CJ NM NPL,V NM NM NM N,{'bullet3.srcml.xml_identifiers'}
"context,url,list",NM NM N,NM NM N,{'kdevelop.srcml.xml_identifiers'}
"convert,to,php,namespace",V P NM N,V P NM N,{'grpc.srcml.xml_identifiers'}
"create,duplicate,change,id",V NM NM N,V NM NM N,{'calligra.srcml.xml_identifiers'}
"create,in,indices",V NM NPL,V P N,{'ogre.srcml.xml_identifiers'}
"create,metadata,array",V NM N,V NM N,{'grpc.srcml.xml_identifiers'}
"create,sub,buffer",V NM N,V NM N,{'opencv.srcml.xml_identifiers'}
"current,slide",NM N,NM N,{'calligra.srcml.xml_identifiers'}
curves,NPL,V,{'QuantLib.srcml.xml_identifiers'}
"declare,component",V N,V N,{'kdevelop.srcml.xml_identifiers'}
"dividend,discount,mother",NM NM N,NM NM N,{'QuantLib.srcml.xml_identifiers'}
"do,print,after",V V P,V V P,{'swift.srcml.xml_identifiers'}
"effective,style",NM N,NM N,{'calligra.srcml.xml_identifiers'}
"emit,address",V N,V N,{'swift.srcml.xml_identifiers'}
"enable,background,opacity",V NM N,V NM N,{'calligra.srcml.xml_identifiers'}
"enable,materials",V NPL,V N,{'openFrameworks.srcml.xml_identifiers'}
"extract,component",V N,V N,{'QuantLib.srcml.xml_identifiers'}
fence,N,V,{'opencv.srcml.xml_identifiers'}
"find,hashable,base,type",V NM NM N,V NM NM N,{'swift.srcml.xml_identifiers'}
float,N,V,{'bullet3.srcml.xml_identifiers'}
"follow,component",V N,V N,{'swift.srcml.xml_identifiers'}
"generate,service,descriptor,property",V NM NM N,V NM NM N,{'grpc.srcml.xml_identifiers'}
"get,constant,reference,for,protocol,descriptor",V NM N P NM N,V NM N P NM N,{'swift.srcml.xml_identifiers'}
"get,controller,transform",V NM N,V NM N,{'bullet3.srcml.xml_identifiers'}
"get,default,atlasing,attributes",V NM NM NPL,V NM NM N,{'ogre.srcml.xml_identifiers'}
"get,diffuse,colour",V NM N,V NM N,{'ogre.srcml.xml_identifiers'}
"get,jf",V N,V N,{'blender.srcml.xml_identifiers'}
"get,msg,send,super,ty",V NM NM NM N,V NM NM NM N,{'swift.srcml.xml_identifiers'}
"get,red,adjust,2",V NM N D,V NM N D,{'ogre.srcml.xml_identifiers'}
"get,related,view,data,row,double",V NM NM NM N NM,V NM NM NM NM N,{'grpc.srcml.xml_identifiers'}
"get,top,border,size",V NM NM N,V NM NM N,{'ogre.srcml.xml_identifiers'}
"get,working,directory",V NM N,V NM N,{'irrlicht.srcml.xml_identifiers'}
"get,xcr,0",V N D,V N D,{'Telegram.srcml.xml_identifiers'}
"global,scope",NM N,NM N,{'kdevelop.srcml.xml_identifiers'}
"grpc,chttp2,mark,stream,writable",PRE PRE V N NM,V NM NM NM NM N,{'grpc.srcml.xml_identifiers'}
"grpc,json,writer,value,string",PRE NM NM NM N,V NM NM NM N,{'grpc.srcml.xml_identifiers'}
"grpc,sock,addr,make,wildcards",PRE NM N V NPL,V NM NM NM N,{'grpc.srcml.xml_identifiers'}
"handle,if",V CJ,V N,{'ogre.srcml.xml_identifiers'}
"has,composite,op",V NM N,V NM N,{'calligra.srcml.xml_identifiers'}
"has,view,relative,texture,coordinate,generation",V NM NM NM NM N,V NM NM NM NM N,{'ogre.srcml.xml_identifiers'}
"in,scc",P N,P N,{'swift.srcml.xml_identifiers'}
"inflation,leg,npv",NM NM N,NM NM N,{'QuantLib.srcml.xml_identifiers'}
"initialize,dual,graph",V NM N,V NM N,{'bullet3.srcml.xml_identifiers'}
"is,generic,type,disambiguating,token",V NM NM NM N,V NM NM NM N,{'swift.srcml.xml_identifiers'}
"is,stdlib,module",V NM N,V NM N,{'swift.srcml.xml_identifiers'}
"is,sum,supported",V N V,V NM N,{'opencv.srcml.xml_identifiers'}
"is,valid,trailing,closure",V NM NM N,V NM NM N,{'swift.srcml.xml_identifiers'}
"last,gradient",NM N,DT N,{'QuantLib.srcml.xml_identifiers'}
"lower,boundary,factor",NM NM N,V NM N,{'QuantLib.srcml.xml_identifiers'}
"max,draw,buffers",NM NM NPL,V NM N,{'openFrameworks.srcml.xml_identifiers'}
"maximize,all",V DT,V DT,{'openFrameworks.srcml.xml_identifiers'}
"node,find,output,by,name",N V N P N,NM NM NM NM N,{'blender.srcml.xml_identifiers'}
"notify,touch,down",V NM N,V V N,{'openFrameworks.srcml.xml_identifiers'}
"of,to,binary",PRE P N,P NM N,{'openFrameworks.srcml.xml_identifiers'}
"optimize,identity,cast,composition",V NM NM N,V NM NM N,{'swift.srcml.xml_identifiers'}
"presentation,start,from,first",N V P NM,NM NM NM N,{'calligra.srcml.xml_identifiers'}
"process,helper",NM N,V N,{'QuantLib.srcml.xml_identifiers'}
"read,element,text,span",V NM NM N,V NM NM N,{'calligra.srcml.xml_identifiers'}
"read,pass",V N,V N,{'irrlicht.srcml.xml_identifiers'}
"read,text,file",V NM N,V NM N,{'ogre.srcml.xml_identifiers'}
"reapply,filter",V N,V N,{'calligra.srcml.xml_identifiers'}
"register,with,volatility,spread",V P NM N,V P NM N,{'QuantLib.srcml.xml_identifiers'}
"remap,nearest,neighbor",V NM N,V NM N,{'opencv.srcml.xml_identifiers'}
"remove,imported,parent,contexts",V NM NM NPL,V NM NM N,{'kdevelop.srcml.xml_identifiers'}
"render,text",V N,V N,{'bullet3.srcml.xml_identifiers'}
"repress,ref,at,loc",V N P N,V N P N,{'swift.srcml.xml_identifiers'}
"resize,linear,open,cv",V NM NM N,V NM NM N,{'opencv.srcml.xml_identifiers'}
"resize,nearest,neighbor",V NM N,V NM N,{'opencv.srcml.xml_identifiers'}
"rgb,2,rgb565",N P N,V D N D,{'opencv.srcml.xml_identifiers'}
"rgbx,2,bgrx",N P N,V D N,{'opencv.srcml.xml_identifiers'}
"sanitize,path",V N,V N,{'kdevelop.srcml.xml_identifiers'}
"save,as,quadratic,png",V P NM N,V P NM N,{'calligra.srcml.xml_identifiers'}
"send,serial,config",V NM N,V NM N,{'openFrameworks.srcml.xml_identifiers'}
"session,config",NM N,NM N,{'kdevelop.srcml.xml_identifiers'}
"set,custom,uniform,1,f",V NM N D NM,V NM NM D N,{'openFrameworks.srcml.xml_identifiers'}
"set,destructor,callback",V NM N,V NM N,{'opencv.srcml.xml_identifiers'}
"set,display,index",V NM N,V NM N,{'ogre.srcml.xml_identifiers'}
"set,frame,pen",V NM N,V NM N,{'calligra.srcml.xml_identifiers'}
"set,invert",V N,V N,{'antlr4.srcml.xml_identifiers'}
"set,layer,texture,name",V NM NM N,V NM NM N,{'ogre.srcml.xml_identifiers'}
